"LSOA11CD","LSOA11NM","RUC11CD","RUC11","FID","Mid-2017 population","Area Sq Km","People per Sq Km","LSOA Name (Eng)","LSOA Name - 
ONS classification","Local Authority Name (Eng)","WIMD 2014 Overall Rank(r)","WIMD 2014 Overall Decile","WIMD 2014 Overall Quintile","WIMD 2014 Overall Quartile"
"W01001500","Torfaen 011D","C1","Urban city and town",34022,"1291","0.79469999999999996","1624.5123946143199","Fairwater (Torfaen) 4","Torfaen 011D","Torfaen",1454,8,4,4
"W01001302","Merthyr Tydfil 006B","D1","Rural town and fringe",34023,"1150","0.76930000000000009","1494.8654621084102","Merthyr Vale 1","Merthyr Tydfil 006B","Merthyr Tydfil",405,3,2,1
"W01001353","Caerphilly 007B","C1","Urban city and town",34024,"1536","0.33360000000000001","4604.3165467625895","Cefn Fforest 2","Caerphilly 007B","Caerphilly",462,3,2,1
"W01001501","Torfaen 009A","C1","Urban city and town",34025,"1356","0.28910000000000002","4690.4185402974745","Greenmeadow 1","Torfaen 009A","Torfaen",350,2,1,1
"W01001303","Merthyr Tydfil 006C","D1","Rural town and fringe",34026,"1117","4.4875999999999996","248.90810232641059","Merthyr Vale 2","Merthyr Tydfil 006C","Merthyr Tydfil",8,1,1,1
"W01001354","Caerphilly 014D","C1","Urban city and town",34027,"1698","2.0625","823.27272727272725","Crosskeys 1","Caerphilly 014D","Caerphilly",1219,7,4,3
"W01001502","Torfaen 011E","C1","Urban city and town",34028,"1264","2.1116000000000001","598.59821935972718","Greenmeadow 2","Torfaen 011E","Torfaen",1627,9,5,4
"W01001304","Merthyr Tydfil 006D","D1","Rural town and fringe",34029,"1460","3.0222000000000002","483.09178743961348","Merthyr Vale 3","Merthyr Tydfil 006D","Merthyr Tydfil",922,5,3,2
"W01001355","Caerphilly 015A","C1","Urban city and town",34030,"1655","3.6720999999999999","450.69578715176601","Crosskeys 2","Caerphilly 015A","Caerphilly",661,4,2,2
"W01001503","Torfaen 009B","C1","Urban city and town",34031,"1348","0.20670000000000002","6521.5287856797286","Greenmeadow 3","Torfaen 009B","Torfaen",257,2,1,1
"W01001305","Merthyr Tydfil 003C","C1","Urban city and town",34032,"1183","0.2893","4089.1807811959902","Park 1","Merthyr Tydfil 003C","Merthyr Tydfil",973,6,3,3
